放牛班的春天	9.2	1291549	2004
假日疑踪	0	23847249	2004
DV·爱情·夏天	0	6307446	2004
鬼城谍变	0	5366730	2004
舂米的女人	0	26670834	2004
珍珠衫	4.8	3032555	2004
天下无贼	7.7	1291550	2004
刑警张玉贵之四忠孝两全	0	20016321	2004
加菲猫	7.6	1308776	2004
花烛错	0	3175613	2004
胡同里的波西米亚人	7.5	1476255	2005
生死腾格里	0	4176639	2005
情人结	6.6	1316506	2005
一石二鸟	4	1457319	2005
我为谁狂	7	1473215	2005
初试锋芒	6.3	3260389	2005
远东特遣队之飞龙行动	0	25963267	2005
远东特遣队之鬼城计划	0	25963266	2005
远东特遣队之狼穴探密	0	25963384	2005
远东特遣队之密令截击	0	25963383	2005
远东特遣队之狭路相逢	0	25961768	2005
鸳鸯蝴蝶	7.1	1394543	2005
美人依旧	6.1	1329938	2005
绿草地	7.6	1479807	2005
孔雀	7.9	1309004	2005
破釜沉舟	7.9	10535502	2005
大寒小寒	0	1899193	2005
一个陌生女人的来信	7.5	1308799	2005
窒息	4.6	1415200	2005
两个人的芭蕾	7.6	1857405	2005
租期	6.6	1875310	2005
好大一对羊	7.4	1394530	2005
桃花灿烂	7.1	1466731	2005
山林喋血	5.2	3115176	2005
远东特遣队之夺桥喋血	0	25966019	2005
远东特遣队之铁血奇兵	0	25966016	2005
鸿门宴	6.3	5908477	2005
吕后篡汉	0	25803256	2005
鲨鱼故事	7.1	1308757	2005
红孩儿：决战火焰山	6.6	1419661	2005
龙威父子	4.1	1920116	2005
星球大战前传3：西斯的复仇	8.2	1309078	2005
结果	6.1	1762077	2005
姐姐词典	6.8	1461180	2005
终极挑战	4.5	2106269	2005
求求你表扬我	6.8	1438041	2005
头文字D	6.9	1329562	2005
法官老张轶事之回避	0	1807375	2005
任长霞	7.1	3292755	2005
史密斯夫妇	7.6	1309199	2005
马达加斯加	7.7	1309201	2005
七剑	5.8	1401205	2005
十里洋场争霸战	0	26369619	2005
良心作证	0	2297122	2005
世界之战	6.5	1309044	2005
水之北	0	3406832	2005
女刑警之黑色魔方	0	6062743	2005
太极战士	0	5937971	2005
爱去情来	0	26340328	2005
我的法兰西岁月	7	1464134	2005
鲁迅	6.9	1459399	2005
神话	6.3	1307023	2005
黑社会	7.9	1309220	2005
佐罗传奇	6.9	1309042	2005
茶马古道：德拉姆	8.1	1291830	2005
如果·爱	7.6	1418070	2005
人民公敌2	6.4	1419960	2005
随风而去	8.1	1765937	2005
警报157	0	10467750	2005
哨所外的风景	0	26369618	2006
银色头发的阿基德	6.5	1448722	2006
生死一线	0	1305298	2006
我和姐姐	5.6	1966919	2006
玉马坠	0	5341825	2006
野蛮秘笈	4.7	1758336	2006
双层公寓	6.7	1307046	2006
爱上爱	3	1480325	2006
村官过大年	0	2224980	2006
兵马俑	0	19965284	2006
纳尼亚传奇1：狮子、女巫和魔衣橱	7.2	1309052	2006
爱了再爱	8.5	4798707	2006
孤女泪	0	25889587	2006
警花燕子	5.7	1782223	2006
U57次谜案	6.2	2347360	2006
伊莎贝拉	7.6	1468155	2006
男孩向前冲	6	2357394	2006
陶器人形	3.5	2137020	2006
血战到底	8.1	6839157	2006
天籁	0	2058371	2006
生死大营救	6.3	6724687	2006
雏菊	8	1433360	2006
协议结婚	0	5366550	2006
陆小凤传奇之凤舞九天	7.3	2136212	2006
院长爸爸	0	2224979	2006
静静的嘛呢石	8	1756057	2006
绝密行动	3	4281598	2006
大山深处的保尔	0	6147236	2006
天狗	8.5	1947270	2006
真水无香	5.9	2224973	2006
梦想照进现实	6.5	1875313	2006
伯爵夫人	6.9	2075147	2006
四十五个太阳	0	20503523	2006
村民钱旺	0	26961121	2006
龙虎门	5.7	1478926	2006
谭老板	0	6558805	2006
小巷总理	0	2224944	2006
单亲家庭的幸福生活	0	3134058	2006
城市的谎言	0	24535176	2006
白秋练	6.1	3048146	2006
第601个电话	4.6	1890569	2006
快乐俏天使	0	24529260	2006
马背上的法庭	7.6	2148778	2006
跆拳道	7.2	26781921	2006
海洋朋友	0	2228234	2006
夜宴	5.6	1418605	2006
图雅的婚事	8	1966460	2006
宝贝计划	7.1	1859036	2006
城市上空的鸟	7.5	2391990	2006
卧虎	7.5	26425068	2006
伟大的族谱	6.6	1957764	2006
玉战士	4.3	1851480	2006
我人生中最美的一周	7.4	1467235	2006
茶色生香	6.3	2282509	2006
马背上的玫瑰	5.7	2061089	2006
寻找克里斯蒂娜	0	3032457	2006
墨攻	6.1	1455979	2006
战火童心	0	4324854	2006
云水谣	6.9	1949811	2006
满城尽带黄金甲	5.2	1499008	2006
篮球宝贝	5.6	2279820	2006
伤城	6.8	1867408	2006
金牌小子	0	5942157	2006
面纱	8.2	1441238	2006
小猴与笨贼	0	26378603	2007
花街节少女	0	19966504	2007
良知	0	2123523	2007
男才女貌	6.6	2228525	2007
生日快乐	7.1	1951318	2007
新忠烈图	3.6	1970594	2007
好人大冯	0	26372925	2007
爱情呼叫转移	6.3	1927686	2007
空战英豪	7.3	1849026	2007
蜗牛也是牛	7.1	2993089	2007
门徒	7.5	1890784	2007
双子神偷	5.4	1962508	2007
穿普拉达的女王	7.9	1482072	2007
别拿自己不当干部	6.9	1961844	2007
姨妈的后现代生活	7.2	1794435	2007
第三种温暖	5.5	2009887	2007
汉江怪物	7.3	1763134	2007
乱战	7	1493481	2007
情归转龙湾	0	26375625	2007
我的实习生活	4.1	3543584	2007
十三棵泡桐	7.1	2038365	2007
纸相机	0	2286934	2007
停不下的舞伴	0	2326677	2007
追爱总动员	5.1	2033877	2007
疯狂粉丝王	5	2043458	2007
信箱	4.3	2056737	2007
寄生人	5.4	2053668	2007
王者之心	7	1461919	2007
女检察官	4.1	2224982	2007
功夫无敌	3.3	2068109	2007
蜘蛛侠3	7	1418189	2007
生死狙击	7.7	1947549	2007
十分爱	7.3	2043465	2007
大唐风云	0	2983277	2007
带蓝花花的白裙子	0	3713681	2007
河内，河内	5.6	2255686	2007
加勒比海盗：世界的尽头	8	1418192	2007
28周后	6.7	1758487	2007
跟踪	8.9	1397546	2007
夜·上海	6.6	1788392	2007
每当变幻时	7.9	2070367	2007
开水要烫，姑娘要壮	8.3	2153266	2007
玫瑰心愿	0	26377646	2007
南京	8.2	1941283	2007
变形金刚	7.6	2146991	2007
男儿本色	6.8	2080133	2007
哆啦A梦:大雄的恐龙	6.6	26839466	2007
不能说的秘密	7.6	2124724	2007
哈利·波特与凤凰社	7.7	1457217	2007
天堂口	5.6	1926007	2007
大话股神	4.5	2271598	2007
夜袭	5.6	2214084	2007
香巴拉信使	8.4	2224967	2007
镖行天下之牡丹阁	6.3	2347262	2007
飞行日志	6.6	2237966	2007
美味情缘	7.6	2279912	2007
Donna on Demand	0	3087901	2007
太阳照常升起	8	1766086	2007
八月一日	6.2	2270516	2007
我的左手	6.6	2244793	2007
八月一日宏大战争场面揭秘	6.2	2270516	2007
丑女大翻身	7.1	2037796	2007
C+侦探	6.5	2263112	2007
基因决定我爱你	5.7	2052973	2007
蜘蛛人与神犬	0	24852482	2007
佳人有约	0	1831580	2007
第五行动组Ⅲ夜巴黎	0	3057378	2007
天下第二	5.9	2271640	2007
当家的是山	0	19966421	2007
海谣	0	26377619	2007
京都夏利	6.1	3162376	2007
怪女孩	6.4	25958789	2007
铁三角	6.3	1866131	2007
